frame_id,track_id,x,y,w,h,confidence,global_id,similarity,label
0,1,442,146,190,361,0.8611,1,0.8470,Khiem
0,2,21,194,159,284,0.8206,1,0.7782,Unknown
1,1,442,146,189,360,0.8630,1,0.8470,Khiem
1,2,23,194,159,283,0.8204,1,0.7782,Unknown
2,1,442,146,189,360,0.8634,1,0.8470,Khiem
2,2,21,193,160,286,0.8263,1,0.7782,Unknown
3,1,442,146,190,362,0.8634,1,0.8470,Khiem
3,2,19,192,163,290,0.8263,1,0.7782,Unknown
4,1,441,146,191,362,0.8639,1,0.8470,Khiem
4,2,20,191,162,289,0.8263,1,0.7782,Unknown
5,1,441,145,190,362,0.8625,1,0.8470,Khiem
5,2,20,191,161,288,0.8259,1,0.7782,Unknown
6,1,441,146,190,361,0.8659,1,0.8470,Khiem
6,2,20,191,159,286,0.8250,1,0.7782,Unknown
7,1,441,146,190,360,0.8678,1,0.8470,Khiem
7,2,19,191,159,285,0.8259,1,0.7782,Unknown
8,1,441,146,190,361,0.8683,1,0.8470,Khiem
8,2,18,190,160,288,0.8275,1,0.7782,Unknown
9,1,441,147,191,362,0.8683,1,0.8470,Khiem
9,2,16,189,160,289,0.8251,1,0.7782,Unknown
10,1,441,147,191,362,0.8650,1,0.8470,Khiem
10,2,17,189,160,288,0.8304,1,0.7782,Unknown
11,1,441,148,190,360,0.8635,1,0.8470,Khiem
11,2,16,190,159,287,0.8256,1,0.7782,Unknown
12,1,441,148,189,358,0.8620,1,0.8470,Khiem
12,2,16,190,159,287,0.8227,1,0.7782,Unknown
13,1,441,148,189,357,0.8611,1,0.8470,Khiem
13,2,16,190,158,286,0.8213,1,0.7782,Unknown
14,1,440,147,189,358,0.8602,1,0.8470,Khiem
14,2,17,190,157,285,0.8252,1,0.7782,Unknown
15,1,440,148,189,357,0.8597,1,0.8470,Khiem
15,2,17,190,156,284,0.8242,1,0.7782,Unknown
16,1,440,148,189,356,0.8607,1,0.8470,Khiem
16,2,17,190,155,282,0.8257,1,0.7782,Unknown
17,1,439,148,189,357,0.8607,1,0.8470,Khiem
17,2,18,190,155,283,0.8247,1,0.7782,Unknown
18,1,440,148,190,357,0.8597,1,0.8470,Khiem
18,2,19,190,154,282,0.8223,1,0.7782,Unknown
19,1,440,148,190,356,0.8593,1,0.8470,Khiem
19,2,19,190,154,282,0.8228,1,0.7782,Unknown
20,1,440,148,190,356,0.8583,1,0.8470,Khiem
20,2,19,190,153,282,0.8242,1,0.7782,Unknown
21,1,440,148,190,356,0.8621,1,0.8470,Khiem
21,2,20,190,153,282,0.8257,1,0.7782,Unknown
22,1,441,149,190,356,0.8617,1,0.8470,Khiem
22,2,20,190,152,282,0.8267,1,0.7782,Unknown
23,1,441,149,190,355,0.8563,1,0.8470,Khiem
23,2,20,190,152,282,0.8281,1,0.7782,Unknown
24,1,441,149,190,356,0.8573,1,0.8470,Khiem
24,2,20,189,151,282,0.8281,1,0.7782,Unknown
25,1,440,149,190,355,0.8607,1,0.8470,Khiem
25,2,19,189,152,284,0.8243,1,0.7782,Unknown
26,1,440,150,190,354,0.8640,1,0.8470,Khiem
26,2,18,188,151,285,0.8204,1,0.7782,Unknown
27,1,440,150,190,354,0.8630,1,0.8470,Khiem
27,2,18,187,152,287,0.8209,1,0.7782,Unknown
28,1,440,150,189,352,0.8611,1,0.8470,Khiem
28,2,19,186,151,287,0.8219,1,0.7782,Unknown
29,1,440,150,189,352,0.8630,1,0.8470,Khiem
29,2,18,185,151,289,0.8147,1,0.7782,Unknown
30,1,440,150,189,351,0.8635,1,0.8470,Khiem
30,2,18,184,150,288,0.8190,1,0.7782,Unknown
31,1,440,150,188,351,0.8635,1,0.8470,Khiem
31,2,19,184,150,288,0.8146,1,0.7782,Unknown
